"ID","Grupo Muscular","Ejercicio","Nivel","Equipamiento","Descripción"
"96","Antebrazos","Flexión de dedos con barra","Avanzado","Barra","Con la barra en las manos, dejarla rodar hasta la punta de los dedos y luego cerrarlos para levantarla de nuevo (entrenar agarre)"
"97","Antebrazos","Plate pinch (pellizco de discos)","Intermedio-Avanzado","Disco","Tomar dos o más discos juntos pellizcándolos entre los dedos y el pulgar, y sostenerlos el mayor tiempo posible"
"98","Antebrazos","Towel pull-ups","Avanzado","Barra","Colgar dos toallas de una barra y agarrarlas para hacer dominadas, lo que incrementa la dificultad en el agarre"
"99","Antebrazos","Wrist roller (enrollador de muñeca)","Intermedio-Avanzado","Barra","Enrollar una cuerda con peso colgante usando solo el movimiento de las muñecas (flexión y extensión)"
"100","Cuádriceps","Box squats","Intermedio","Barra","Sentadilla hasta sentarse ligeramente en una caja y volver a subir, controlando la posición baja"
"101","Cuádriceps","Prensa de piernas","Principiante","Máquina","Sentado en máquina de prensa, empujar la plataforma con los pies sin bloquear las rodillas al extender"
"102","Cuádriceps","Sentadilla (squat) con pausa","Avanzado","Barra","Sentadilla convencional pero deteniéndose 2-3 segundos en la posición baja antes de subir"
"103","Cuádriceps","Sentadilla búlgara","Intermedio","Mancuernas","Pie trasero apoyado en un banco, descender flexionando la rodilla delantera manteniendo el torso erguido"
"104","Cuádriceps","Sentadilla frontal","Intermedio-Avanzado","Barra","Barra apoyada en la parte frontal de los hombros (agarre cruzado o de fuerza), mantener codos altos, descender en sentadilla manteniendo torso vertical"
"105","Cuádriceps","Sentadilla goblet","Principiante","Kettlebell","Sostener un kettlebell o mancuerna frente al pecho con ambas manos, realizar sentadilla profunda"
"106","Cuádriceps","Sentadilla hack","Intermedio","Máquina","En máquina hack squat, pies al ancho de hombros, descender flexionando rodillas controladamente y empujar de nuevo hacia arriba"
"107","Cuádriceps","Sentadilla sissy","Avanzado","Peso corporal","De pie apoyándose en un soporte, plantar pies y elevar talones, luego flexionar rodillas llevando el cuerpo hacia atrás (cuádriceps en máxima tensión)"
"108","Cuádriceps","Sentadilla trasera (Back squat)","Principiante-Avanzado","Barra","Barra apoyada en la espalda alta (trapecios), descender en sentadilla hasta romper la paralela, subir de forma explosiva"
"109","Cuádriceps","Sentadillas (bodyweight squats)","Principiante","Peso corporal","De pie, descender en sentadilla (muslos al menos paralelos al piso) y volver a subir extendiendo rodillas y caderas"
"110","Cuádriceps","Step up","Principiante-Intermedio","Mancuernas","Subir con un pie a un banco o cajón, empujando a través del talón para elevar el cuerpo, luego bajar controladamente (alternar piernas)"
"111","Cuádriceps","Wall sit","Principiante","Peso corporal","Apoyar la espalda contra la pared en posición de sentadilla (rodillas ~90°) y mantener la posición estática"
"112","Cuádriceps","Zancadas (lunges)","Principiante","Mancuernas","Paso amplio hacia adelante, descender hasta que la rodilla trasera casi toque el suelo, empujar con la pierna delantera para volver a la posición inicial"
"113","Cuádriceps","Zancadas caminando","Intermedio","Mancuernas","Zancadas alternadas avanzando hacia adelante con cada paso"
"114","Isquiotibiales","Curl femoral con banda","Principiante","Banda elástica","Tumbado boca abajo, banda en los tobillos, flexionar rodillas contra la resistencia de la banda"
"115","Isquiotibiales","Curl femoral de pie","Principiante","Máquina","De pie en máquina de curl de pierna, flexionar la rodilla llevando el talón hacia el glúteo (trabajar una pierna a la vez)"
"116","Isquiotibiales","Curl femoral sentado","Principiante","Máquina","Sentado en máquina de curl, iniciar con piernas estiradas y flexionar rodillas llevando los tobillos hacia debajo del asiento"
"117","Isquiotibiales","Curl femoral tumbado","Principiante","Máquina","Tumbado boca abajo en máquina de curl, flexionar rodillas llevando talones hacia los glúteos"
"118","Isquiotibiales","Curl nórdico","Avanzado","Compañero","Arrodillado con tobillos sujetos (por un compañero o aparato), descender el torso controladamente hacia el suelo usando la fuerza de los isquiotibiales"
"119","Isquiotibiales","Glute ham raise","Avanzado","Máquina","En máquina GHR, comenzar con el cuerpo extendido, flexionar rodillas y cadera para subir el torso usando isquiotibiales y glúteos"
"120","Isquiotibiales","Good mornings","Intermedio","Barra","Barra en hombros, flexionar cadera con piernas semi-rígidas (ligeramente flexionadas), sentir el estiramiento en isquiotibiales y volver arriba"
"121","Isquiotibiales","Peso muerto con kettlebell","Principiante","Kettlebell","Con espalda recta, realizar una bisagra de cadera llevando el kettlebell hacia el suelo, luego extender cadera y rodillas para volver arriba"
"122","Isquiotibiales","Peso muerto pierna rígida","Intermedio","Barra","Pies al ancho de caderas, rodillas apenas flexionadas, bajar la barra recorriendo los muslos hasta notar estiramiento en isquiotibiales, subir contrayendo glúteos"
"123","Isquiotibiales","Peso muerto rumano","Intermedio","Barra","Similar al peso muerto regular pero con rodillas ligeramente flexionadas, concentrándose en empujar caderas atrás para estirar isquiotibiales"
"124","Isquiotibiales","Peso muerto sumo","Intermedio-Avanzado","Barra","Postura de pies muy amplia y puntas hacia afuera, agarrar barra con manos entre las rodillas, levantar manteniendo espalda recta"
"125","Isquiotibiales","Peso muerto unilateral","Intermedio","Kettlebell","Equilibrado en una pierna, inclinar el cuerpo hacia adelante levantando la otra pierna atrás, bajar el peso hacia el suelo y subir contrayendo isquiotibiales"
"126","Isquiotibiales","Puente de glúteos con barra","Intermedio","Barra","Apoyando la espalda alta en un banco y pies en el suelo, colocar una barra sobre la pelvis, extender caderas hacia arriba contrayendo isquiotibiales y glúteos"
"127","Isquiotibiales","Peso muerto convencional (Deadlift)","Intermedio-Avanzado","Barra","Postura pies a ancho de caderas, agarrar barra en el suelo, levantar extendiendo rodillas y caderas simultáneamente, manteniendo espalda neutra"
"128","Glúteos","Abducción de cadera de pie","Principiante","Banda elástica","De pie, banda alrededor de los tobillos, elevar una pierna lateralmente lo máximo posible (trabaja glúteos medianos)"
"129","Glúteos","Caminata lateral con banda","Principiante","Banda elástica","Banda alrededor de muslos o tobillos, pasos laterales cortos manteniendo tensión constante en la banda"
"130","Glúteos","Curtsy lunges","Intermedio","Mancuernas","Zancadas cruzadas: dar un paso hacia atrás y al lado (como haciendo reverencia) flexionando rodilla delantera, regresar al inicio"
"131","Glúteos","Frog pumps","Principiante","Peso corporal","Boca arriba, plantas de los pies juntas y cercanas al cuerpo, realizar puentes de glúteos rápidos contrayendo al tope"
"132","Glúteos","Hamstring curl TRX","Intermedio","TRX","Acostado boca arriba con talones en estribos TRX, elevar cadera y flexionar rodillas llevando talones hacia glúteos"
"133","Glúteos","Hiperextensiones (enfocado glúteos)","Intermedio","Máquina","En banco romano, descender y subir contrayendo glúteos (puede sostener peso sobre el pecho para más resistencia)"
"134","Glúteos","Hip thrust","Intermedio","Barra","Espalda alta apoyada en banco, barra sobre la pelvis, empujar con talones elevando la cadera hasta alinear muslos y torso (contraer glúteos arriba)"
"135","Glúteos","Patadas de glúteo","Principiante","Peso corporal","En posición cuadrúpeda, elevar una pierna hacia atrás y arriba manteniendo la rodilla a 90°, concentrando la contracción en el glúteo"
"136","Glúteos","Patadas en máquina","Principiante","Máquina","En máquina de glúteos, empujar la plataforma hacia atrás y arriba con la pierna, contrayendo el glúteo"
"137","Glúteos","Sentadilla búlgara","Intermedio","Mancuernas","Pie trasero elevado en un banco, descender flexionando la rodilla delantera (énfasis en glúteo de pierna delantera)"
"138","Glúteos","Sentadilla sumo","Intermedio","Kettlebell","Con pies muy separados y puntas hacia afuera (posición sumo), sostener peso al frente, realizar sentadilla profunda contrayendo glúteos al subir"
"139","Glúteos","Single leg deadlift con KB","Intermedio","Kettlebell","Peso muerto a una pierna sosteniendo kettlebell (énfasis en equilibrio y trabajo de glúteo e isquiotibiales de la pierna de apoyo)"
"140","Glúteos","Step up con rodilla alta","Intermedio","Mancuernas","Subir a un banco con un pie y al llegar arriba elevar la rodilla contraria lo más alto posible, alternar piernas"
"141","Glúteos","Puente de glúteos (glute bridge)","Principiante","Peso corporal","Boca arriba con rodillas flexionadas y pies en el suelo, elevar caderas apretando glúteos formando línea recta de rodillas a hombros"
"142","Glúteos","Fire hydrants","Principiante","Peso corporal","En cuadrupedia, elevar una pierna flexionada hacia un lado (como un perro levantando la pata) manteniendo 90° de rodilla"
"143","Glúteos","Clamshells","Principiante","Banda elástica","Acostado de lado con rodillas flexionadas y pies juntos, abrir la rodilla superior contra la resistencia de la banda (trabaja abductores de cadera)"
"144","Abductor","Abducción de cadera en máquina","Principiante","Máquina","Sentado en máquina de abducción de cadera, separar muslos abriendo las piernas contra la resistencia"
"145","Abductor","Abducción de cadera de pie (con banda)","Principiante","Banda elástica","(Ver Glúteos: Abducción de cadera de pie) De pie con banda, elevar lateralmente una pierna"
"146","Abductor","Caminata lateral con banda","Principiante","Banda elástica","(Ver Glúteos: Caminata lateral) Pasos laterales con banda en muslos, manteniendo tensión para trabajar glúteos medianos"
"147","Abductor","Clamshells (con banda)","Principiante","Banda elástica","(Ver Glúteos: Clamshells) Apertura de cadera lateral acostado de lado, con banda para mayor resistencia"
"148","Abdominales","Crunch abdominal básico","Principiante","Peso corporal","Tumbado, rodillas flexionadas, elevar el tronco contrayendo abdominales (subir unos 30-40°)"
"149","Abdominales","Crunch con banda","Intermedio","Banda elástica","Banda anclada arriba, acostado tirando de la banda al hacer el crunch para añadir resistencia"
"150","Abdominales","Crunch en polea alta","Intermedio","Cable","De rodillas bajo una polea alta con cuerda, flexionar el tronco llevando la cabeza hacia el suelo (contrayendo abdominales)"
"151","Abdominales","Crunch inverso","Principiante","Peso corporal","Tumbado, manos apoyadas, elevar caderas despegando glúteos del suelo llevando rodillas hacia el pecho"
"152","Abdominales","Crunch oblicuo (bicicleta)","Principiante-Intermedio","Peso corporal","Tumbado, llevar alternativamente el codo derecho a rodilla izquierda y viceversa, en movimiento de pedaleo"
"153","Abdominales","Elevaciones de piernas","Principiante-Intermedio","Peso corporal","Tumbado, elevar piernas extendidas hasta 90° y descender controladamente sin arquear la espalda"
"154","Abdominales","Elevaciones de piernas en suspensión","Avanzado","Barra","Colgado de una barra, elevar rodillas hacia el pecho (o piernas extendidas hasta horizontal o más) sin balancearse"
"155","Abdominales","Flutter kicks","Intermedio","Peso corporal","Tumbado, piernas extendidas ligeramente elevadas, alternar rápidos movimientos cortos de subir/bajar de cada pierna (como pataleo)"
"156","Abdominales","Giros rusos (Russian twists)","Intermedio","Balón medicinal","Sentado con el torso a ~45° y pies elevados, sostener balón y rotar el torso de lado a lado tocando el balón al suelo en cada lado"
"157","Abdominales","Hollow body hold","Intermedio","Peso corporal","Tumbado boca arriba, elevar ligeramente hombros y piernas (estiradas) y mantener posición ahuecando el abdomen"
"158","Abdominales","L-sit","Avanzado","Peso corporal","Apoyado en paralelas o suelo con brazos extendidos, levantar las piernas juntas y estiradas hasta formar una 'L' con el cuerpo, mantener posición"
"159","Abdominales","Leñador (woodchopper) con cable","Intermedio-Avanzado","Cable","De pie lateral a una polea alta, tirar de la cuerda o barra diagonalmente hacia abajo cruzando el cuerpo hasta la altura de la rodilla opuesta (como un hachazo)"
"160","Abdominales","Mountain climbers","Intermedio","Peso corporal","En posición de plancha alta, llevar rodillas alternadamente al pecho de forma rápida, sin levantar las caderas (tipo escalador)"
"161","Abdominales","Plancha frontal (plank)","Principiante-Intermedio","Peso corporal","Apoyado en antebrazos y pies, mantener el cuerpo en línea recta de cabeza a tobillos contrayendo el core"
"162","Abdominales","Plancha lateral","Intermedio","Peso corporal","Apoyado de lado en antebrazo y pies, elevar la cadera formando línea recta, mantener contrayendo oblicuos"
"163","Abdominales","Plancha con elevación de pierna","Intermedio","Peso corporal","En plancha frontal, elevar una pierna recta unos centímetros y mantener, alternar con la otra pierna (manteniendo cadera nivelada)"
"164","Abdominales","Press Pallof","Intermedio","Cable","De pie lateral a una polea con agarre a altura de pecho, brazos extendidos al frente, resistir la rotación que provoca el cable (mantener core firme)"
"165","Abdominales","Rueda abdominal (ab wheel)","Avanzado","Rueda abdominal","De rodillas, agarrar la rueda abdominal y rodarla hacia adelante extendiendo el cuerpo lo más recto posible, luego regresar contrayendo abdomen"
"166","Abdominales","Scissors (tijeras)","Intermedio","Peso corporal","Tumbado, piernas extendidas ligeramente elevadas, cruzarlas alternadamente (movimiento de tijera horizontal)"
"167","Abdominales","Sit-ups","Principiante","Peso corporal","Tumbado con rodillas flexionadas, elevar el torso completamente hasta quedar sentado, luego bajar controlado"
"168","Abdominales","Toes to bar","Avanzado","Barra","Colgado de una barra, elevar las piernas juntas hasta tocar la barra con los pies (flexionando abdomen y caderas)"
"169","Cuello","Extensión de cuello con arnés","Intermedio","Arnés de cabeza","De pie, con arnés para cabeza sujeto a peso (o polea baja), realizar extensiones del cuello hacia atrás"
"170","Cuello","Flexión de cuello con peso","Intermedio","Disco","Tumbado boca arriba en una banca con la cabeza fuera del borde, colocar un disco en la frente y flexionar el cuello elevando la cabeza"
"171","Core","Bear crawl","Intermedio","Peso corporal","En posición cuadrúpeda (manos y pies), avanzar alternando mano y pie opuestos, manteniendo rodillas cerca del suelo y core estable"
"172","Core","Crab walk","Principiante","Peso corporal","Sentado con manos y pies en el suelo (posición de cangrejo), caminar hacia atrás y adelante manteniendo caderas elevadas"
"173","Core","Farmer's carry unilateral","Intermedio","Kettlebell","Caminar llevando un peso pesado en una sola mano a un lado del cuerpo, manteniendo el torso recto (evitar inclinarse)"
"174","Core","Flexión pike TRX","Avanzado","TRX","En posición de plancha con pies en estribos TRX, elevar caderas formando una V invertida (pike), luego volver a plancha"
"175","Core","Loaded carries","Intermedio","Variedad de pesos","Transportar o cargar pesos de diferentes formas (por ejemplo: maleta, sobre el hombro, overhead) para fortalecer core y estabilidad"
"176","Core","Plancha con elevación de rodillas TRX","Intermedio","TRX","En posición de plancha con pies en TRX, llevar rodillas alternadamente hacia el pecho, manteniendo core firme"
"177","Core","Plancha lateral TRX","Avanzado","TRX","Plancha lateral con pies en los estribos TRX, mantener posición trabajando oblicuos"
"178","Core","Rotación con banda","Intermedio","Banda elástica","Banda anclada a la altura del pecho, con brazos extendidos realizar rotación de torso contra la resistencia de la banda"
"179","Core","Wall walk","Intermedio","Pared","Desde posición de flexión, “caminar” con los pies por la pared hacia arriba hasta quedar casi en handstand, luego caminar de regreso abajo – excelente para hombros y core"
"180","Equilibrio","Equilibrio a una pierna","Principiante","Peso corporal","De pie sobre un pie, levantar la otra pierna y mantener el equilibrio el mayor tiempo posible (ejercicio básico de balance)"
"181","Equilibrio","Sentadilla en bosu","Intermedio","Bosu","De pie sobre un bosu, realizar una sentadilla controlada manteniendo la estabilidad (mejora equilibrio y fuerza de piernas)"
